timestamp,lot_name,occupied_spots,available_spots,total_capacity
2026-02-02 21:30,Haley_Deck,1,1,2
2026-02-02 21:35,Stadium_Deck,4,0,4
2026-02-02 21:35,Athletics_Deck,1,3,4
2026-02-02 21:35,Haley_Deck,1,1,2
2026-02-02 21:40,Stadium_Deck,4,0,4
2026-02-02 21:40,Athletics_Deck,1,3,4
2026-02-02 21:40,Haley_Deck,1,1,2
2026-02-02 21:45,Stadium_Deck,4,0,4
2026-02-02 21:45,Athletics_Deck,1,3,4
2026-02-02 21:45,Haley_Deck,1,1,2
2026-02-02 21:50,Stadium_Deck,4,0,4
2026-02-02 21:50,Athletics_Deck,1,3,4
2026-02-02 21:50,Haley_Deck,1,1,2
2026-02-02 21:55,Stadium_Deck,3,1,4
2026-02-02 21:55,Athletics_Deck,1,3,4
2026-02-02 21:55,Haley_Deck,1,1,2
2026-02-02 22:00,Stadium_Deck,3,1,4
2026-02-02 22:00,Athletics_Deck,1,3,4
2026-02-02 22:00,Haley_Deck,1,1,2
2026-02-02 22:05,Stadium_Deck,3,1,4
2026-02-02 22:05,Athletics_Deck,1,3,4
2026-02-02 22:05,Haley_Deck,1,1,2
2026-02-02 22:10,Stadium_Deck,3,1,4
2026-02-02 22:10,Athletics_Deck,1,3,4
2026-02-02 22:10,Haley_Deck,1,1,2
2026-02-02 22:15,Stadium_Deck,3,1,4
2026-02-02 22:15,Athletics_Deck,1,3,4
2026-02-02 22:15,Haley_Deck,1,1,2
2026-02-02 22:20,Stadium_Deck,3,1,4
2026-02-02 22:20,Athletics_Deck,1,3,4
2026-02-02 22:20,Haley_Deck,1,1,2
2026-02-02 22:25,Stadium_Deck,3,1,4
2026-02-02 22:25,Athletics_Deck,1,3,4
2026-02-02 22:25,Haley_Deck,1,1,2
2026-02-02 22:30,Stadium_Deck,3,1,4
2026-02-02 22:30,Athletics_Deck,0,4,4
2026-02-02 22:30,Haley_Deck,1,1,2
2026-02-02 22:35,Stadium_Deck,3,1,4
2026-02-02 22:35,Athletics_Deck,0,4,4
2026-02-02 22:35,Haley_Deck,1,1,2
